date,time,district,lat,lon,civ.race,civ.gender,civ.age,civ.injured,force_id,officer_id,month,civilian_race_short,hour
2014-04-02,2014-04-02T15:50:00Z,19,NA,NA,BLACK,FEMALE,76,0,55841,290,2014-04-01,civilian_black,15
2014-08-08,2014-08-08T16:55:00Z,19,NA,NA,HISPANIC,MALE,22,1,58242,290,2014-08-01,civilian_hisp,16
2014-10-08,2014-10-08T19:00:00Z,19,41.936337,-87.65097,WHITE,MALE,29,0,59195,290,2014-10-01,civilian_white,19
2013-02-05,2013-02-05T11:43:00Z,10,41.852486,-87.73454,BLACK,FEMALE,22,0,49628,303,2013-02-01,civilian_black,11
2013-03-26,2013-03-26T10:46:00Z,31,NA,NA,BLACK,MALE,42,1,50354,303,2013-03-01,civilian_black,10
2013-06-15,2013-06-15T11:10:00Z,10,41.859283,-87.723755,BLACK,FEMALE,56,0,51785,303,2013-06-01,civilian_black,11
2013-11-03,2013-11-03T06:35:00Z,10,NA,NA,BLACK,MALE,34,0,54029,303,2013-11-01,civilian_black,6
2014-06-14,2014-06-14T17:30:00Z,11,41.902657,-87.72387,BLACK,FEMALE,31,0,57154,307,2014-06-01,civilian_black,17
2012-04-07,2012-04-07T23:26:00Z,14,41.909626,-87.67989,BLACK,MALE,26,0,44784,308,2012-04-01,civilian_black,23
2014-07-21,2014-07-21T21:10:00Z,14,41.907547,-87.69206,BLACK,MALE,24,0,57929,308,2014-07-01,civilian_black,21
2014-07-22,2014-07-22T03:42:00Z,25,41.906708,-87.76334,BLACK,FEMALE,33,0,57940,312,2014-07-01,civilian_black,3
2014-10-14,2014-10-14T04:05:00Z,25,NA,NA,HISPANIC,MALE,40,0,59277,312,2014-10-01,civilian_hisp,4
2012-01-17,2012-01-17T16:04:00Z,9,NA,NA,HISPANIC,MALE,25,0,43522,313,2012-01-01,civilian_hisp,16
2013-03-09,2013-03-09T16:45:00Z,9,41.804024,-87.6685,HISPANIC,MALE,23,0,50085,313,2013-03-01,civilian_hisp,16
2013-04-29,2013-04-29T18:20:00Z,9,41.837242,-87.64626,WHITE,MALE,30,0,50910,313,2013-04-01,civilian_white,18
2013-06-25,2013-06-25T19:15:00Z,9,41.837242,-87.64626,WHITE,MALE,24,0,51992,313,2013-06-01,civilian_white,19
2015-11-29,2015-11-29T03:30:00Z,4,41.700043,-87.560776,HISPANIC,MALE,30,0,65413,326,2015-11-01,civilian_hisp,3
2012-03-25,2012-03-25T23:51:00Z,10,41.85942,-87.734764,BLACK,MALE,52,1,44591,331,2012-03-01,civilian_black,23
2013-05-27,2013-05-27T23:05:00Z,25,41.918503,-87.76437,WHITE,MALE,48,0,51451,334,2013-05-01,civilian_white,23
2014-03-11,2014-03-11T01:15:00Z,25,41.92599,-87.75469,HISPANIC,MALE,26,0,55528,334,2014-03-01,civilian_hisp,1
2012-07-20,2012-07-20T19:45:00Z,12,NA,NA,BLACK,MALE,49,1,46630,356,2012-07-01,civilian_black,19
2012-04-27,2012-04-27T20:55:00Z,15,41.88622,-87.75651,BLACK,MALE,28,1,45049,364,2012-04-01,civilian_black,20
2012-07-17,2012-07-17T17:04:00Z,15,41.898556,-87.759834,BLACK,MALE,25,0,46582,364,2012-07-01,civilian_black,17
2013-03-01,2013-03-01T20:55:00Z,15,NA,NA,BLACK,MALE,39,0,49943,364,2013-03-01,civilian_black,20
2014-03-20,2014-03-20T15:35:00Z,15,41.8805295,-87.76488,BLACK,MALE,31,0,55662,364,2014-03-01,civilian_black,15
2014-10-28,2014-10-28T10:00:00Z,15,41.887054,-87.752815,BLACK,MALE,26,0,59522,364,2014-10-01,civilian_black,10
2015-01-30,2015-01-30T19:41:00Z,15,41.88039,-87.75412,BLACK,FEMALE,34,0,60731,364,2015-01-01,civilian_black,19
2012-01-17,2012-01-17T17:35:00Z,9,NA,NA,WHITE,FEMALE,20,0,43524,369,2012-01-01,civilian_white,17
2013-06-10,2013-06-10T22:32:00Z,9,41.84213,-87.64151,WHITE,MALE,37,1,51713,369,2013-06-01,civilian_white,22
2015-07-24,2015-07-24T19:25:00Z,9,41.8084,-87.64552,BLACK,FEMALE,25,0,63483,369,2015-07-01,civilian_black,19
2012-07-31,2012-07-31T19:05:00Z,20,41.985912,-87.671646,HISPANIC,MALE,29,0,46824,410,2012-07-01,civilian_hisp,19
2014-02-11,2014-02-11T20:05:00Z,20,NA,NA,,FEMALE,27,0,55177,410,2014-02-01,NA,20
2014-06-23,2014-06-23T18:46:00Z,20,NA,NA,WHITE,MALE,59,1,57338,410,2014-06-01,civilian_white,18
2014-07-17,2014-07-17T17:29:00Z,19,41.968155,-87.65762,BLACK,MALE,40,0,57828,410,2014-07-01,civilian_black,17
2016-01-01,2016-01-01T00:20:00Z,10,NA,NA,BLACK,MALE,25,0,65742,410,2016-01-01,civilian_black,0
2015-06-08,2015-06-08T14:09:00Z,15,41.88039,-87.75412,BLACK,MALE,24,0,62593,411,2015-06-01,civilian_black,14
2015-05-19,2015-05-19T07:10:00Z,22,41.68724,-87.64952,BLACK,MALE,40,1,62246,413,2015-05-01,civilian_black,7
2015-04-02,2015-04-02T02:35:00Z,8,41.775715,-87.73977,HISPANIC,MALE,21,0,61572,458,2015-04-01,civilian_hisp,2
2014-08-12,2014-08-12T17:20:00Z,NA,NA,NA,BLACK,MALE,20,0,58329,461,2014-08-01,civilian_black,17
2014-12-02,2014-12-02T18:40:00Z,25,41.933083,-87.71967,HISPANIC,MALE,18,0,59972,461,2014-12-01,civilian_hisp,18
2015-06-30,2015-06-30T16:05:00Z,15,41.901028,-87.763794,BLACK,MALE,24,0,63030,461,2015-06-01,civilian_black,16
2012-08-23,2012-08-23T22:09:00Z,8,41.778008,-87.692154,BLACK,FEMALE,25,0,47288,485,2012-08-01,civilian_black,22
2014-12-25,2014-12-25T04:45:00Z,11,NA,NA,HISPANIC,FEMALE,26,0,60269,486,2014-12-01,civilian_hisp,4
